R,E
0.80000000000000004,-2.4452845851022182
0.80027002700270033,-2.4457385088525752
0.80054005400540063,-2.4461919531475926
0.8008100810081008,-2.4466449185280417
0.8010801080108011,-2.4470974055339849
0.80135013501350139,-2.4475494147047434
0.80162016201620168,-2.4480009465789156
0.80189018901890197,-2.448452001694374
0.80216021602160226,-2.4489025805882609
0.80243024302430244,-2.449352683797001
0.80270027002700273,-2.4498023118562866
0.80297029702970302,-2.4502514653010987
0.80324032403240331,-2.4507001446656993
0.8035103510351036,-2.4511483504836176
0.80378037803780378,-2.451596083287674
0.80405040504050407,-2.4520433436099771
0.80432043204320436,-2.4524901319819108
0.80459045904590465,-2.4529364489341536
0.80486048604860494,-2.4533822949966586
0.80513051305130523,-2.4538276706986806
0.80540054005400541,-2.4542725765687501
0.8056705670567057,-2.4547170131347058
0.80594059405940599,-2.4551609809236581
0.80621062106210628,-2.4556044804620223
0.80648064806480657,-2.4560475122755148
0.80675067506750675,-2.456490076889124
0.80702070207020704,-2.4569321748271631
0.80729072907290733,-2.4573738066132194
0.80756075607560762,-2.4578149727701919
0.80783078307830791,-2.4582556738202772
0.80810081008100809,-2.458695910284975
0.80837083708370838,-2.4591356826850852
0.80864086408640867,-2.4595749915407055
0.80891089108910896,-2.460013837371247
0.80918091809180925,-2.4604522206954251
0.80945094509450954,-2.4608901420312614
0.80972097209720972,-2.4613276018960861
0.80999099909991001,-2.4617646008065415
0.8102610261026103,-2.4622011392785601
0.81053105310531059,-2.4626372178274298
0.81080108010801089,-2.4630728369677075
0.81107110711071106,-2.4635079972132834
0.81134113411341136,-2.4639426990773652
0.81161116111611165,-2.4643769430724758
0.81188118811881194,-2.464810729710448
0.81215121512151223,-2.4652440595024383
0.81242124212421252,-2.4656769329589268
0.8126912691269127,-2.4661093505897065
0.81296129612961299,-2.4665413129039013
0.81323132313231328,-2.4669728204099459
0.81350135013501357,-2.4674038736156199
0.81377137713771386,-2.4678344730280068
0.81404140414041404,-2.468264619153528
0.81431143114311433,-2.468694312497933
0.81458145814581462,-2.4691235535662841
0.81485148514851491,-2.4695523428630106
0.8151215121512152,-2.4699806808918288
0.81539153915391549,-2.4704085681558206
0.81566156615661567,-2.4708360051573828
0.81593159315931596,-2.4712629923982523
0.81620162016201625,-2.4716895303795035
0.81647164716471654,-2.4721156196015421
0.81674167416741683,-2.4725412605641175
0.81701170117011701,-2.4729664537663192
0.8172817281728173,-2.4733911997065676
0.81755175517551759,-2.4738154988826309
0.81782178217821788,-2.4742393517916184
0.81809180918091817,-2.474662758929985
0.81836183618361846,-2.4750857207935284
0.81863186318631864,-2.4755082378773778
0.81890189018901893,-2.4759303106760377
0.81917191719171922,-2.4763519396833344
0.81944194419441951,-2.4767731253924614
0.8197119711971198,-2.4771938682959447
0.81998199819981998,-2.4776141688856801
0.82025202520252027,-2.4780340276528947
0.82052205220522056,-2.4784534450881859
0.82079207920792085,-2.4788724216814937
0.82106210621062115,-2.4792909579221196
0.82133213321332144,-2.4797090542987257
0.82160216021602162,-2.4801267112993184
0.82187218721872191,-2.4805439294112683
0.8221422142214222,-2.4809607091213115
0.82241224122412249,-2.4813770509155395
0.82268226822682278,-2.4817929552794009
0.82295229522952296,-2.4822084226977137
0.82322232223222325,-2.4826234536546559
0.82349234923492354,-2.4830380486337784
0.82376237623762383,-2.4834522081179848
0.82403240324032412,-2.4838659325895462
0.8243024302430243,-2.4842792225301187
0.82457245724572459,-2.4846920784207058
0.82484248424842488,-2.4851045007416999
0.82511251125112517,-2.4855164899728508
0.82538253825382546,-2.4859280465932816
0.82565256525652575,-2.4863391710814908
0.82592259225922593,-2.4867498639153589
0.82619261926192622,-2.4871601255721303
0.82646264626462651,-2.4875699565284219
0.8267326732673268,-2.4879793572602464
0.82700270027002709,-2.48838832824298
0.82727272727272727,-2.4887968699513743
0.82754275427542756,-2.4892049828595804
0.82781278127812785,-2.489612667441103
0.82808280828082814,-2.4900199241688621
0.82835283528352843,-2.4904267535151265
0.82862286228622872,-2.4908331559515795
0.8288928892889289,-2.491239131949269
0.82916291629162919,-2.4916446819786393
0.82943294329432948,-2.4920498065095118
0.82970297029702977,-2.4924545060111121
0.82997299729973006,-2.4928587809520448
0.83024302430243024,-2.4932626318003015
0.83051305130513053,-2.4936660590232771
0.83078307830783082,-2.4940690630877445
0.83105310531053112,-2.4944716444598773
0.83132313231323141,-2.4948738036052496
0.83159315931593158,-2.4952755409888181
0.83186318631863188,-2.4956768570749466
0.83213321332133217,-2.4960777523273827
0.83240324032403246,-2.4964782272092845
0.83267326732673275,-2.496878282183205
0.83294329432943304,-2.4972779177111022
0.83321332133213322,-2.497677134254328
0.83348334833483351,-2.4980759322736374
0.8337533753375338,-2.4984743122291948
0.83402340234023409,-2.4988722745805561
0.83429342934293438,-2.4992698197866963
0.83456345634563456,-2.4996669483059888
0.83483348334833485,-2.5000636605962159
0.83510351035103514,-2.5004599571145603
0.83537353735373543,-2.5008558383176371
0.83564356435643572,-2.50125130466144
0.83591359135913601,-2.5016463566013907
0.83618361836183619,-2.5020409945923219
0.83645364536453648,-2.5024352190884787
0.83672367236723677,-2.5028290305435177
0.83699369936993706,-2.5032224294105077
0.83726372637263735,-2.5036154161419377
0.83753375337533753,-2.5040079911897073
0.83780378037803782,-2.5044001550051544
0.83807380738073811,-2.5047919080390009
0.8383438343834384,-2.5051832507414091
0.83861386138613869,-2.5055741835619645
0.83888388838883898,-2.5059647069496611
0.83915391539153916,-2.5063548213529256
0.83942394239423945,-2.5067445272196052
0.83969396939693974,-2.5071338249969646
0.83996399639964003,-2.5075227151316999
0.84023402340234032,-2.5079111980699276
0.8405040504050405,-2.5082992742572054
0.84077407740774079,-2.5086869441385042
0.84104410441044108,-2.5090742081582222
0.84131413141314138,-2.509461066760192
0.84158415841584167,-2.5098475203876891
0.84185418541854196,-2.5102335694833937
0.84212421242124214,-2.5106192144894397
0.84239423942394243,-2.5110044558473903
0.84266426642664272,-2.5113892939982332
0.84293429342934301,-2.5117737293824063
0.8432043204320433,-2.5121577624397675
0.84347434743474348,-2.5125413936096215
0.84374437443744377,-2.5129246233307145
0.84401440144014406,-2.5133074520412158
0.84428442844284435,-2.5136898801787475
0.84455445544554464,-2.5140719081803655
0.84482448244824493,-2.5144535364825797
0.84509450945094511,-2.5148347655213219
0.8453645364536454,-2.5152155957319793
0.84563456345634569,-2.5155960275493912
0.84590459045904598,-2.5159760614078182
0.84617461746174627,-2.5163556977409911
0.84644464446444645,-2.5167349369820631
0.84671467146714674,-2.5171137795636671
0.84698469846984703,-2.5174922259178518
0.84725472547254732,-2.5178702764761343
0.84752475247524761,-2.5182479316694799
0.8477947794779479,-2.5186251919282951
0.84806480648064808,-2.5190020576824552
0.84833483348334837,-2.519378529361274
0.84860486048604866,-2.5197546073935189
0.84887488748874895,-2.5201302922074258
0.84914491449144924,-2.5205055842306674
0.84941494149414942,-2.5208804838903847
0.84968496849684971,-2.5212549916131772
0.84995499549955,-2.5216291078251003
0.85022502250225029,-2.5220028329516593
0.85049504950495058,-2.5223761674178302
0.85076507650765087,-2.5227491116480452
0.85103510351035105,-2.523121666066205
0.85130513051305134,-2.5234938310956583
0.85157515751575164,-2.5238656071592249
0.85184518451845193,-2.5242369946791969
0.85211521152115222,-2.5246079940773201
0.8523852385238524,-2.5249786057748058
0.85265526552655269,-2.5253488301923386
0.85292529252925298,-2.5257186677500703
0.85319531953195327,-2.5260881188676132
0.85346534653465356,-2.5264571839640557
0.85373537353735374,-2.5268258634579461
0.85400540054005403,-2.5271941577673283
0.85427542754275432,-2.5275620673096846
0.85454545454545461,-2.5279295925020038
0.8548154815481549,-2.5282967337607092
0.85508550855085519,-2.5286634915017392
0.85535553555355537,-2.5290298661404731
0.85562556255625566,-2.5293958580917906
0.85589558955895595,-2.5297614677700393
0.85616561656165624,-2.5301266955890291
0.85643564356435653,-2.5304915419620739
0.85670567056705671,-2.5308560073019475
0.856975697569757,-2.5312200920209196
0.85724572457245729,-2.5315837965307231
0.85751575157515758,-2.5319471212425917
0.85778577857785787,-2.5323100665672182
0.85805580558055805,-2.5326726329148022
0.85832583258325834,-2.5330348206950095
0.85859585958595863,-2.5333966303170086
0.85886588658865892,-2.5337580621894298
0.85913591359135921,-2.5341191167204098
0.8594059405940595,-2.5344797943175665
0.85967596759675968,-2.5348400953880033
0.85994599459945997,-2.5352000203383112
0.86021602160216026,-2.5355595695745778
0.86048604860486055,-2.5359187435023842
0.86075607560756084,-2.5362775425267832
0.86102610261026102,-2.5366359670523355
0.86129612961296131,-2.5369940174831016
0.8615661566156616,-2.5373516942226151
0.8618361836183619,-2.5377089976739113
0.86210621062106219,-2.5380659282395368
