R,E
0.69999999999999996,-6.4363381285228938
0.70530530530530522,-6.4542891387643575
0.71061061061061059,-6.4719119427341028
0.71591591591591586,-6.4892162977540284
0.72122122122122123,-6.506211651908214
0.72652652652652649,-6.5229065673002742
0.73183183183183176,-6.5393098665556817
0.73713713713713713,-6.55542990835065
0.7424424424424424,-6.5712749877236769
0.74774774774774766,-6.586852517578917
0.75305305305305303,-6.6021702354531886
0.7583583583583583,-6.617235638228383
0.76366366366366356,-6.6320554006490759
0.76896896896896894,-6.6466365087915324
0.7742742742742742,-6.6609857300404993
0.77957957957957957,-6.6751090584523585
0.78488488488488484,-6.6890127926319476
0.7901901901901901,-6.7027030306212225
0.79549549549549547,-6.7161851405293449
0.80080080080080074,-6.7294649441044267
0.80610610610610611,-6.7425474618668
0.81141141141141138,-6.7554379507137252
0.81671671671671664,-6.7681414903520789
0.82202202202202201,-6.7806625594922405
0.82732732732732728,-6.7930058689455155
0.83263263263263254,-6.8051759634614299
0.83793793793793792,-6.8171768320929864
0.84324324324324318,-6.8290126847333195
0.84854854854854844,-6.8406874544800935
0.85385385385385382,-6.8522050543887296
0.85915915915915908,-6.8635688751445212
0.86446446446446434,-6.8747825390206874
0.86976976976976972,-6.8858494140618731
0.87507507507507509,-6.8967728534038928
0.88038038038038036,-6.9075557492161153
0.88568568568568562,-6.9182012079524426
0.89099099099099099,-6.9287121131720166
0.89629629629629626,-6.9390912397236608
0.90160160160160152,-6.9493412586002137
0.9069069069069069,-6.9594647417199873
0.91221221221221216,-6.9694641666189572
0.91751751751751742,-6.9793419210378724
0.9228228228228228,-6.9891003073871918
0.92812812812812806,-6.9987415470743954
0.93343343343343332,-7.0082677846786039
0.9387387387387387,-7.017681091959636
0.94404404404404396,-7.0269834716904054
0.94934934934934923,-7.0361768613043338
0.9546546546546546,-7.0452631363517497
0.95995995995995997,-7.0542441137622811
0.96526526526526524,-7.0631214762802612
0.9705705705705705,-7.071897095270252
0.97587587587587588,-7.0805725453012442
0.98118118118118114,-7.0891494375435906
0.9864864864864864,-7.0976293380178923
0.99179179179179178,-7.10601369879004
0.99709709709709704,-7.1143041497801445
1.0024024024024023,-7.1225020566755362
1.0077077077077077,-7.1306088249971804
1.0130130130130128,-7.1386257582486552
1.0183183183183182,-7.1465543303025445
1.0236236236236236,-7.1543957709655537
1.028928928928929,-7.1621512842334738
1.0342342342342341,-7.169822250461376
1.0395395395395395,-7.1774098071079315
1.0448448448448449,-7.1849151369919184
1.05015015015015,-7.1923393346008719
1.0554554554554554,-7.1996836569391967
1.0607607607607608,-7.2069491403164676
1.0660660660660661,-7.214136801956105
1.0713713713713713,-7.2212478264211777
1.0766766766766767,-7.2282831775739709
1.0819819819819818,-7.2352438650595641
1.0872872872872872,-7.2421308193883664
1.0925925925925926,-7.2489451274745367
1.0978978978978979,-7.255687672526097
1.1032032032032031,-7.2623593214034248
1.1085085085085085,-7.2689611061965262
1.1138138138138136,-7.2754938499946906
1.119119119119119,-7.2819584233122203
1.1244244244244244,-7.2883556211613705
1.1297297297297297,-7.2946863999180858
1.1350350350350351,-7.3009515154905973
1.1403403403403403,-7.3071517708786615
1.1456456456456456,-7.3132879533809003
1.1509509509509508,-7.319360781835849
1.1562562562562562,-7.3253711240461605
1.1615615615615615,-7.3313196650947337
1.1668668668668669,-7.3372071338515479
1.1721721721721721,-7.3430342455883579
1.1774774774774774,-7.3488016510426855
1.1827827827827826,-7.3545101457180415
1.188088088088088,-7.3601603510721727
1.1933933933933933,-7.3657529317401078
1.1986986986986987,-7.3712885405646116
1.2040040040040041,-7.3767677667912173
1.2093093093093092,-7.38219134822873
1.2146146146146144,-7.3875598485816809
1.2199199199199198,-7.3928738767473403
1.2252252252252251,-7.3981340313803798
1.2305305305305305,-7.4033409011752802
1.2358358358358359,-7.4084950651401993
1.241141141141141,-7.4135970429547626
1.2464464464464464,-7.4186474975087808
1.2517517517517516,-7.423646927555513
1.2570570570570569,-7.4285958759438913
1.2623623623623623,-7.4334948770800295
1.2676676676676677,-7.4383444571533648
1.2729729729729728,-7.4431451343552997
1.2782782782782782,-7.4478974190909755
1.2835835835835834,-7.4526018141842059
1.2888888888888888,-7.4572588150756882
1.2941941941941941,-7.4618688641644306
1.2994994994994995,-7.4664325362599246
1.3048048048048049,-7.4709502579482168
1.31011011011011,-7.4754224970034491
1.3154154154154154,-7.4798497147143781
1.3207207207207206,-7.4842323660469452
1.3260260260260259,-7.4885708998013092
1.3313313313313313,-7.4928657587637115
1.3366366366366367,-7.4971173798533579
1.3419419419419418,-7.5013261942643208
1.3472472472472472,-7.5054926276027913
1.3525525525525524,-7.5096171000196819
1.3578578578578577,-7.513700026338725
1.3631631631631631,-7.5177418161804379
1.3684684684684685,-7.5217428310984342
1.3737737737737739,-7.525703557834607
1.379079079079079,-7.5296243468538959
1.3843843843843842,-7.5335055881247026
