element,actual_shell_count_by_L,n_shells_total,n_csv_rows
B,4S 3P 2D 1F,10,32
C,4S 3P 2D 1F,10,32
F,4S 3P 2D 1F,10,32
H,3S 2P 1D,6,10
N,4S 3P 2D 1F,10,32
O,4S 3P 2D 1F,10,32
P,5S 4P 2D 1F,12,70
S,5S 4P 2D 1F,12,70
Al,5S 4P 2D 1F,12,70
Ar,5S 4P 2D 1F,12,70
Be,4S 3P 2D 1F,10,34
Cl,5S 4P 2D 1F,12,70
He,3S 2P 1D,6,11
Li,4S 3P 2D 1F,10,34
Mg,5S 4P 2D 1F,12,72
Na,5S 4P 2D 1F,12,75
Ne,4S 3P 2D 1F,10,32
Si,5S 4P 2D 1F,12,70
