shell_id,L,primitive_id,exponent,coefficient
0,S,0,166.679134,0.1543289673
0,S,1,30.36081233,0.5353281423
0,S,2,8.216820672,0.4446345422
1,S,0,6.464803249,-0.09996722919
1,S,1,1.502281245,0.3995128261
1,S,2,0.4885884864,0.7001154689
2,P,0,6.464803249,0.155916275
2,P,1,1.502281245,0.6076837186
2,P,2,0.4885884864,0.3919573931
